Event Code,Description
10002,Program pointer has been reset or
10010,Motors OFF state
10011,Motors ON state
10012,Safety guard stop state
10013,Emergency stop state
10014,System failure state
10015,Manual mode selected
10016,Automatic mode requested
10017,Automatic mode confirmed
10018,Manual mode full speed requested
10019,Manual mode full speed confirmed
10020,Execution error state
10021,Execution error reset
10024,Collision triggered
10025,Collision confirmed
10026,Collision retraction
10027,Collision retraction fail
10030,All axes commutated
10031,All axes calibrated
10032,All revolution counters updated
10033,All axes synchronized
10034,Axis not commutated
10035,Axis not calibrated
10036,Revolution counter not updated
10037,Axis not synchronized
10038,Robot memory is OK
10039,Robot memory is not OK
10040,Program loaded
10041,Program deleted
10042,Axis synchronized
10044,Program Pointer updated
10045,System restarted
10046,System reset
10048,Background task did stop
10051,Event routine error
10052,Regain start
10053,Regain ready
10056,System shutdown initiated
10057,The controller name has been changed
10061,A target has been modified
10062,A module has been edited.
10063,Module has been edited
10064,A module has been erased.
10066,Not possible to load system module
10067,Program Pointer Reset
10068,Start Program
10074,NFS server up
10075,NFS server down
10076,FTP server up
10077,FTP server down
10078,A module has been edited
10079,A module has been edited
10082,RAPID Task supervision
10083,RAPID Task supervision
10084,RAPID Task supervision
10090,Reset RAPID done
10091,Restart not possible
10092,(Re)start not possible
10095,At least one task is unchecked in the task
10096,
10097,Restart not possible
10098,Restart not possible
10099,Program start rejected
10100,SFTP server up
10101,SFTP server down
10106,Time for service
10107,Close to service
10108,Time for service
10109,Close to service
10110,Gearbox needs service
10111,Gearbox reached service interval
10112,SIS calendar notification
10115,A backup is made of the robot memory
10116,Robot memory is restored from the
10117,The robot memory is cleared
10118,The backup of the robot memory is
10120,Program stopped
10121,Program stopped
10122,Program stopped
10123,Program stopped
10124,Program stopped
10125,Program stopped
10126,Program stopped
10127,Backward execution not possible
10128,Backward execution not possible
10129,Program stopped
10130,Program stopped
10131,Program stopped
10132,Program stopped
10133,Program stopped
10134,POWER_ON event routine stopped
10135,Program stopped
10136,Program stopped
10137,Program stopped
10138,Program stopped
10139,Execution is stopped
10140,Speed adjusted
10141,Program pointer moved to cursor
10142,Call routine
10143,Cancel call routine
10144,Simulate of Wait instruction
10145,Task selection panel is set
10146,Task selection panel is cleared
10147,Setting of variable
10148,Setting of IO
10149,Program Pointer moved to routine
10150,Program started
10151,Program started
10152,Program started
10153,Run mode is changed
10154,Run mode is changed
10155,Program restarted
10156,Program restarted
10157,Program restarted
10158,Program started
10159,Program started
10160,Pulsing of IO
10170,Background task
10171,Background task
10172,Background task
10173,Background task
10174,Background task
10175,Background task
10176,Background task
10177,Task refuses to start
10185,Task could not be prepared for start
10190,Protected area not done
10191,Protected area not done
10192,Protected area not done
10193,Protected area not done
10194,Protected area not done
10195,Protected area not done
10196,Protected area not done
10200,Event logs are cleared
10201,Event logs for one domain is cleared
10202,Date and/or time is changed
10205,Configuration parameter changed
10206,Configuration file has been loaded
10210,Execution cancelled
10211,Execution cancelled
10212,Execution cancelled
10213,Execution cancelled
10214,Execution cancelled
10215,Execution cancelled
10217,Execution cancelled
10218,Execution cancelled
10219,Execution cancelled
10230,Backup step ready
10231,Backup step ready
10232,Backup step ready
10233,Backup step ready
10250,Restore step ready
10251,Restore step ready
10252,Restore step ready
10253,Restore step ready
10254,Restore step ready
10255,Restore step ready
10260,System diagnostics info generated
10261,System diagnostics info unavailable
10262,System log has been created
10270,Cyclic Brake Check Done
10271,Cyclic Brake Check Started
10272,Brake Check Done
10273,Brake Check Started
10280,The coordinate system has been changed
10281,The coordinate system has been changed
10282,The coordinate system has been changed
10283,The coordinate system has been changed
10284,Non motion execution mode is set
10285,Non motion execution mode has been
10286,Payload has been changed
10287,Total load has been changed
10288,The Work Object has been changed
10289,The tool has been changed
10290,The robot has been calibrated
10291,Goto position
10292,Revolution Counter updated
10293,Path Supervision is set to On
10294,Path Supervision is set to Off
10295,The Sensitivity for Path Supervision is
10296,Jog Supervision is set to On
10297,Jog Supervision is set to Off
10298,The Sensitivity for Jog Supervision is
10300,A Reset RAPID is ordered
10304,An update has been ordered
10350,Update of task failed
10351,A task is removed
10352,A task is added
10353,A task is reinstalled
10354,Restore aborted due to lost system data.
10355,Restore error
10356,Restore warning
10400,User
10401,User
10420,New unsafe robot path
10421,Planned path not aborted
10451,Update of RobotWare system failed
10452,Update of RobotWare system done
10455,Update of RobotWare system error
10457,Event routines are deferred
10458,System state could not be restored after
10459,System restored from a snapshot
10460,System state could not be restored after
10461,System recovery done
11020,Backup error
11024,Backup error
11025,Backup error
11026,Backup error
11029,Backup error
11031,Backup error
11036,Backup error
11037,Backup error
11039,Backup error
11041,Backup error
11042,Backup error
11044,Backup error
11045,Backup error
11120,Backup error
11127,Backup error
11128,Backup error
11129,Backup error
11130,Backup error
11136,Backup error
11220,Backup error
11221,Backup error
11222,Backup error
11223,Backup error
11224,Backup error
11225,Backup error
11226,Backup error
11229,Backup error
11230,Backup error
11231,Backup error
11236,Backup error
11237,Backup error
11238,Backup error
11261,Backup removed
11262,Backup error
11263,Backup operation failed
12020,Restore error
12023,Restore error
12024,Restore error
12029,Restore error
12030,Restore error
12031,Restore error
12032,Restore error
12033,Restore error
12035,Restore error
12036,Restore error
12120,Restore error
12123,Restore error
12129,Restore error
12130,Restore error
12131,Restore error
12134,Restore error
12136,Restore error
12220,Restore error
12230,Restore error
12231,Restore error
12236,Restore error
12320,Restore error
12323,Restore error
12338,Restore error
12341,Restore error
12342,Restore error
12350,Backup pending
12351,Backup pending
12510,Network subnet mask illegal
12511,Network interface IP address illegal
12512,Network gateway IP address illegal
12513,No parameters from the DHCP server
12514,Network interface initialization error
12515,Network interface IP addresses overlap
12516,Port forwarding configuration failed
12521,Network service disabled
12610,Available RAM memory low
12611,Available RAM memory very low
12612,Available RAM memory too low
12620,Mass storage predictive failure
12700,Missing time zone information
12705,OPC UA Server up and running
12706,WAN IP Address Changed
20012,System failure state active
20030,Axis not commutated
20031,Axis not calibrated.
20032,Rev. counter not updated
20033,Axis not synchronized.
20034,Robot memory is not OK
20051,Not allowed command
20054,Not allowed command
20059,Not allowed command
20060,Not allowed command
20061,Not allowed command
20062,Not allowed command
20063,Not allowed command
20064,Not allowed command
20066,Not allowed command
20067,Not allowed command
20068,Not allowed command
20069,Not allowed command
20070,Not allowed command
20071,Not allowed command
20072,Not allowed command
20073,Not allowed command
20074,Not allowed command
20075,Not allowed command
20076,Not allowed command
20080,Not allowed command
20081,Not allowed command
20082,Not allowed command
20083,Not allowed command
20084,Not allowed command
20088,Automatic Mode Rejected
20089,Automatic Mode Rejected
20092,Not allowed command
20093,Automatic Mode Rejected
20094,Load name could not be found
20095,Tool name could not be found
20096,WorkObject name could not be found
20103,Controller busy updating Task Selection
20104,The system path is too long.
20105,Backup already in progress
20106,Backup path
20126,Load data has changed
20127,Tool data has changed
20128,Work object data has changed
20131,Automatic Mode Rejected
20132,Blocked I/O signals
20133,Debug Settings in Auto
20134,Call Chain
20135,Debug Settings in Auto
20136,Reduced Speed
20137,Debug Settings in Auto
20138,Disabled Tasks
20139,Debug Settings in Auto
20140,Motors On rejected
20141,Motors Off rejected
20142,Start rejected
20143,Start at main rejected
20144,Stop rejected
20145,Stop cycle rejected
20146,Manual interrupt rejected
20147,Load and start rejected
20149,Error reset rejected
20150,Load failure
20153,Motors On and Start rejected
20154,Stop instruction rejected
20156,Undefined Argument
20157,Undefined Argument
20158,No System Input signal
20159,No System Output signal
20161,Path not found
20162,Write error
20164,Reconfig failed
20165,Program Pointer lost.
20166,Refuse to save module
20167,Unsaved module
20170,The system was stopped
20171,The system was halted
20172,The system has failed
20176,Analog System Output Outside Limits
20178,Wrong task name configured
20181,System Reset rejected.
20182,The System Input Signal QuickStop is
20184,Incorrect argument for System Inputs
20188,System data is not valid
20189,Robot data not valid
20193,Robot data update warning
20194,Auto-recovery backup could not be
20195,System state from last shutdown is lost
20196,Module saved
20271,Text files are no longer supported.
20280,Symbol conflict
20282,Resource and index exist
20283,Text database is full.
20284,Wrong Signal Type For System Input
20285,Wrong Signal Type For System Output
20286,Not Unique I/O-Signal For System Output
20287,Not Unique I/O-signal For System Input
20288,Unknown System Output Type
20289,Unknown System Input Type
20290,Unknown Mechanical Unit Name For
20291,Unknown System Input Restriction Type
20292,Unknown System Input Restriction
20293,The Requested Action is Restricted
20294,Action
20295,Signal cannot be used as System Output.
20296,Wrong task name configured
20297,System Output Communication Failure
20299,Several I/O-signals Configured For System
20300,Restricted System Input
20301,Restricted System Output
20321,Not-a-Number
20322,Positive infinity
20323,Negative infinity
20324,Incorrect argument for System IO Signal
20326,Incorrect argument for System IO Signal
20327,System Signal already installed
20350,Not a valid task name
20351,Max number of tasks exceeded
20352,Not a valid Motion Planner name
20353,Mechanical unit not found
20354,The argument is undefined
20355,Mechanical Unit Group name not correct
20356,Maximum number of Motion tasks
20357,No configured Motion task
20358,No members of
20359,Cfg type
20360,Unknown event in cfg type
20361,Only shared modules in the shared task
20362,Not defined task name
20363,Module not a system module
20364,Max number of Mechanical Unit Groups
20365,Update of configuration is done
20366,Type error in task configuration
20367,No configured mechanical units
20368,Not connected Mechanical Unit Group
20370,Failed to read configuration data for regain
20371,A default Mechanical Unit Group is used
20372,Failed to read configuration data.
20373,Missing task name
20380,No Motion Planner connected to
20381,Error when recreating path after power
20390,Start rejected
20391,Start at main rejected
20392,Manual interrupt rejected
20393,Load and start rejected
20394,Motors On and Start rejected.
20395,Load rejected
20396,Manual interrupt rejected
20397,Manual interrupt rejected
20398,Automatic Mode Rejected
20399,Static/Semi-static task started
20400,Debug Settings In Auto
20401,Too many CFG instances
20402,Automatic Mode Rejected
20403,RAPID Spy deactivated
20404,Debug Settings In Auto
20408,PP to Main rejected
20409,PP to Main rejected
20410,Energy Saving has been reset
20411,Energy saving activated
20412,Energy saving deactivated
20413,Motors On failed
20414,Program start failed
20415,Motors On/Program Start failed
20416,Energy saving blocked
20417,Energy saving unblocked
20418,Energy saving already active
20425,Write Access rejected
20426,Write Access rejected
20440,Failed to initialize FW upgrade framework
20441,Failed to initialize firmware patch
20443,Multiple firmware upgrade restarts
20573,Controller ID is Missing
20578,ABB internal licenses are used
20600,Unofficial RobotWare release
20602,Unofficial RobotWare image
20610,Motor phase short circuit
20620,The system has entered an internal test
20630,Camera job missing Output to Rapid
20633,Integrated Vision not installed
20634,No result for current camera job
20635,Too many cameras connected
20636,Duplicated camera name
20637,Camera permission denied
20638,Option missing
20639,Camera connection up
20640,Camera connection down
20641,New camera detected
20642,DryRun configuration error
20643,DryRun configuration error
20644,DryRun configuration error
20645,DryRun configuration error
20646,DryRun aborted
20647,DryRun aborted
20648,DryRun aborted
20649,DryRun configuration error
20650,DryRun aborted
20651,Image request timed out
20652,Camera job is not valid
20653,DryRun rejected
20655,No job is loaded in the camera
20656,Camera refresh started
20657,Camera IP address changed
20658,Camera updated
20659,Camera instruction
20660,Debug service not using default values
20661,Debug service using default values
20665,Error during automatic calibration
20666,Error during automatic calibration
20667,System state is lost
20668,Uas grant removed
20669,The camera user is missing sufficient
20670,Obsolete compression format
20671,Restricted command
20672,Restricted command
20673,No brake release function available
20674,Invalid subnet mask
20675,Invalid IP address
31810,DeviceNet master/slave board is missing
31910,PROFIBUS master board is missing
31911,Profibus board update error
31912,PROFIBUS master board failure
31913,PROFIBUS master board internal error
31914,PROFIBUS network startup error
31915,PROFIBUS network error
31916,PROFIBUS network OK
31917,PROFIBUS master board exception
32540,Drive unit firmware re-flash started
32541,Drive unit firmware re-flash complete
32542,Drive unit hardware not supported
32543,Drive unit firmware re-flash failed
32544,Drive unit firmware file not found
32545,Drive unit firmware file type error
32546,Drive unit firmware file error
32550,Firmware re-flash started
32551,Firmware re-flash completed
32552,Firmware re-flash failed
32553,Firmware file is corrupt
32554,Firmware file not found
32560,Axis computer firmware re-flash started
32561,Axis computer firmware re-flash complete
32562,Axis computer communication error
32563,Axis computer hardware not supported
32564,Axis computer firmware re-flash failed
32565,Axis computer firmware file not found
32567,Axis computer firmware file type error
32568,Axis computer firmware file error
32569,Corrupt axis computer hardware
32570,Firmware re-flash started
32571,Firmware re-flash completed
32572,Firmware re-flash failed
32573,Unable to download firmware file
32574,Corrupt axis computer hardware
32575,Found no axis computer board
32576,Axis firmware: No communication
32577,Axis computer hardware data error
33503,Revolution counter update failure
33601,Anybus module is missing
34101,Drive system not supported
34102,Missing rectifier unit
34200,Lost communication with all drive units
34202,Lost communication with drive unit
34203,Motor current too high
34251,Incoming mains phase missing
34252,Incoming mains missing
34255,Rectifier temperature error
34256,Rectifier temperature warning
34257,Open circuit in bleeder resistor circuit
34258,Short circuit in bleeder resistor circuit
34261,Rectifier startup error
34263,Rectifier startup error
34264,Rectifier inrush limitation active in Motors
34265,DC link short circuit error
34266,Rectifier inrush limitation and bleeder
34267,Too many rectifiers connected
34268,Rectifier charging error
34269,AC Over voltage error
34270,AC input not symmetric warning
34271,AC input rotation warning
34272,AC Over current error
34273,DC intermediate over voltage error
34274,DC over voltage error
34275,DC over current error
34276,DC short circuit error
34277,Brake supply error
34278,Rectifier over temperature error
34279,Rectifier regulator error
34280,Rectifier shutdown error
34300,Unknown drive unit type
34303,Motor current warning
34304,Motor current warning
34306,Drive unit temperature error
34307,Drive unit temperature warning
34308,Drive unit critical temperature error
34309,Drive transistor current too high
34311,Drive inverter saturated warning
34312,Missing drive unit
34313,Wrong type of drive unit
34314,Missing drive unit node
34316,Motor current error
34317,Motor current error
34318,Drive inverter saturated error
34319,Drive unit critical error
34320,Too many drive nodes connected
34321,Drive unit configuration error
34322,Drive unit configuration error
34324,Drive unit junction temperature warning
34325,Drive unit junction temperature error
34326,Drive unit HW temperature warning
34327,Drive unit HW temperature error
34328,Drive unit HW detected short warning
34329,Drive unit HW detected short error
34330,Resolver error
34331,Resolver error
34332,Motor position consistency error
34333,Motor position commutation error
34334,Arm side torque sensor error
34335,Current tracking error
34336,Motor current error
34337,Parameter configuration error
34338,Resolver sampling error
34339,Resolver start position error
34340,Resolver revolution counter error
34341,Torque generation could not be verified
34400,DC link voltage too high
34401,DC link voltage too low warning
34402,DC link voltage too low
34404,DC link voltage is critically high
34405,DC link voltage too high warning
34406,Drive unit power supply error
34407,Drive unit internal error
34408,Drive unit hardware data error
34409,Drive unit startup error
34410,Too many drive units connected
34411,DC link error
34412,DC ground error
34413,DC short error
34415,Drive unit communication warning
34416,Drive unit communication error
34417,Drive unit internal warning
34423,Incompatible drive unit types
34430,Serial measurement board not found
34431,Serial measurement board communication
34432,Serial measurement board communication
34433,Serial measurement board battery low
34434,Brake short circuit
34435,Manual brake release switch faulty
34436,Manual brake release switch fault cleared
34437,Emergency brake supply failure
34438,Brake switch short and emergency brake
34439,Emergency brake switch short
34440,Short circuit of the brake and the
34441,Manual brake release switch timeout
34442,Drive Unit Power Board Temperature 1
34443,Drive Unit Power Board Temperature 1
34444,Drive Unit Power Board Temperature 2
34445,Drive Unit Power Board Temperature 2
34446,"Parity warning, detected by the serial"
34447,"Parity error, detected by the serial"
34448,Timeout warning in the communication
34449,Timeout error in the communication with
34450,"Parity warning, detected by the FPGA"
34451,"Parity error, detected by the FPGA"
34452,Brake over current error
34453,Emergency brake over current error
34454,Drive unit internal error
34455,Drive unit internal failure
34456,Drive system does not allow Motors On
34457,DC bus midpoint voltage out of range
34458,DC bus midpoint voltage out of range error
36500,Failed to configure the Connected
36502,Could not communicate with the
36503,Connected Services gateway firmware
36504,Connected Services gateway firmware
36505,Connected Services gateway detected
36506,Connected Services gateway connected
36507,Connected Services gateway failed to go
36508,Firmware update of Connected Services
36600,Failed to initialize the robot signal
36601,Failed to start up the robot signal
36602,Energy bank not charged
36603,Default turn off behavior not overridden
36604,Power-up sequence failed.
36605,Robot signal exchange proxy module
36606,Fan Control parameters not set
36607,Failure on the 24V_PC power rail
36608,Failure on the 24V_HMI power rail
36609,Failure on the 24V_SYS power rail
36610,Failure on the 24V_SYS_DRV power rail
36611,Failure on the 24V_IO power rail
36612,Failure on the 24V_COOL_MAN power rail
36613,Failure on the 24V_BRAKE power rail
36614,Failure on the 24V_COOL_INT power rail
36615,Failure on the 24V_COOL_EXT power rail
36616,Ambient temperature is too high
36700,LED board firmware upgrade required
36701,LED board firmware upgrade done
36702,LED board firmware upgrade failed
37001,Motors ON contactor activation error
37043,Safety signals overloaded
37044,Overload on Panel Board digital output
37045,Faulty external computer fan
37046,Safety signals overloaded
37049,Activation contactor activation error
37056,Cooling fan error
37094,Activate connection error
37101,Brake Failure
37109,Brake Release Failure
37110,Missing signal for Leak Detection
37111,Leak Detected
37230,Brake Performance Warning
37231,Brake Performance Error
37232,Cyclic Brake Check Configuration Error
37233,Cyclic Brake Check Configuration Error
37234,Brake Performance Warning
37235,Brake Performance Error
37236,Brake Check Configuration Error
37237,Brake Check Configuration Error
37274,Brake Maintenance
37275,Brake Performance
38100,Configuration failure
38101,SMB Communication Failure
38102,Internal failure
38103,Lost communication with the SMB
38104,Overspeed During Teach Mode
38106,Drive unit is not connected to an SMB link
38107,Wrong order of chain connection serial
38108,Broken sequence order of serial
38109,SMB Communication failure
38110,Configuration failure
38200,Battery backup lost
38201,Serial Board not found
38203,SMB offset X error
38204,SMB offset Y error
38208,Resolver error
38209,Resolver error
38211,Measurement functionality error
38213,Battery charge low
38214,Battery failure
38215,Battery supervision failure
38216,SMB functionality error
38217,SMB functionality error
38218,Encoder high temperature
38219,SMB version not supported
38220,SMB battery backup lost
38221,SMB functionality error
38233,Force sensor safety channel error
38234,Max Force or Torque reached
38235,Saturation warning of force sensor input
38236,Saturation error of force sensor input
38237,Configuration error for Force
38238,Force Sensor has too noisy signals
38239,Battery failure
38240,Serial Board not found
38502,Rectifier bleeder open circuit warning
38503,Rectifier bleeder open circuit error
38504,Rectifier bleeder short circuit warning
38505,Rectifier bleeder short circuit error
38506,Rectifier phase voltage too low
38507,Rectifier mains missing
38508,Rectifier grid voltage is too low
38509,Rectifier grid frequency is out of range.
38510,Rectifier DC bus is charging
38511,Rectifier over current on grid side
38512,Rectifier error
38513,Rectifier AC input overload
38514,Rectifier 24 V Trunk overload
38515,Rectifier AC input over voltage warning
38516,Rectifier AC input over voltage error
38517,Rectifier grid open circuit
38518,Rectifier 24 V Trunk timeout
38519,Rectifier AC input over current warning
38520,Rectifier AC input over current error
38521,Rectifier ACOUT OFF warning
38522,Rectifier buck over voltage software error
38523,Rectifier buck over current software error
38524,Rectifier buck over current hardware error
38525,Rectifier 24 V Brake power not ok
38526,Rectifier heatsink over temperature
38527,Rectifier heatsink over temperature error
38528,Rectifier CPU temperature too high
38529,Rectifier brake power good timeout
38530,Rectifier brake 24 V over voltage
38531,Rectifier brake 24 V overload
38532,Rectifier bleeder overload
38533,Rectifier CPU temperature too low
38534,Rectifier heatsink temperature too low
38535,Rectifier AC out overload
38536,Rectifier AC Out over current Common
38537,Rectifier DC bus charge timeout
38538,Rectifier holdup supervision too low
38539,Rectifier fan speed too low
38540,Rectifier 24 V Sys lost
38541,Rectifier 24 V Trunk over voltage
38542,Rectifier communication failure
38543,Rectifier power supply error
38544,Rectifier DC voltage too low
38545,Rectifier DC under voltage warning
38546,Rectifier DC over voltage warning
38547,Rectifier DC over voltage error
38548,Rectifier critical DC voltage error
39351,The drive system communication link is
39352,Drive system communication error.
39353,Drive link unit communication error.
39354,No drive system detected during startup.
39355,No drive system interrupts received.
39408,Rectifier Unit has the wrong type code
39409,Capacitor Unit has the wrong type code
39479,External Motor PTC Temperature Error
39487,PTC Temperature Supervision Not
39488,Missing sensor for force control
39503,Power Supply Overtemperature
39504,Power Supply to Brakes Overload
39505,Mains Voltage to Power Supply Lost
39520,Communication lost with Drive Module
39522,Axis computer not found
39523,Unused Axis computer connected
39525,Drive Module startup error
39526,Axis computer not found in Multi Move
39527,Axis computer not found in single Multi
39530,Axis Computer Lost Communication With
39531,Run chain glitch test not running
39600,Invalid unit position for drive module
39601,Wrong unit position for drive module
39602,Communication failure
39603,Communication lost with Power Unit
39604,Power Unit reports communication error
39605,Power Unit 24 V supply error
39606,Power Unit internal error
39607,DC link voltage too high
39608,DC link voltage too low
39609,Open circuit in bleeder resistor circuit
39610,Short circuit in bleeder resistor circuit
39611,Incoming mains missing
39612,Rectifier temperature warning
39613,Rectifier temperature error
39700,Roberta first HW elog
40001,Argument error
40002,Argument error
40003,Argument error
40004,Argument error
40005,Argument error
40006,Argument error
40007,Argument error
40008,Argument error
40009,Argument error
40010,Argument error
40011,Argument error
40012,Argument error
40013,Argument error
40014,Argument error
40015,Data declaration error
40016,Data declaration error
40017,Type error
40018,Type error
40019,Limit error
40020,Data declaration error
40021,Instruction error
40022,Type error
40023,Instruction error
40024,Type error
40025,Type error
40026,Type error
40027,Type error
40028,Type error
40029,Type error
40030,Type error
40031,Type error
40032,Type error
40033,Type error
40034,Type error
40035,Type error
40036,Type error
40037,Data declaration error
40038,Data declaration error
40039,Name error
40040,Name error
40041,Name error
40042,Name error
40043,Name error
40044,Name error
40045,Name error
40046,Name error
40047,Name error
40048,Name error
40049,Name error
40050,Type error
40051,Type error
40052,Instruction error
40054,Type error
40055,Type error
40056,Type error
40057,Type error
40058,Type error
40059,Data declaration error
40060,Data declaration error
40061,Routine declaration error
40062,Name error
40063,Data declaration error
40064,Routine declaration error
40065,Reference error
40066,Data declaration error
40067,Type error
40068,Type error
40069,Reference error
40070,Reference error
40071,Reference error
40072,Reference error
40073,Reference error
40074,Reference error
40075,Reference error
40076,Reference error
40077,Reference error
40078,Reference error
40079,Reference error
40080,Reference error
40081,Reference error
40082,Reference error
40083,Type error
40086,Reference error
40087,Reference error
40089,Reference error
40090,Reference error
40092,Reference error
40093,Instruction error
40094,Data declaration error
40095,Instruction error
40096,Instruction error
40097,Instruction error
40098,Parameter error
40099,Parameter error
40100,Parameter error
40101,Type error
40102,Type error
40103,Type error
40104,Data declaration error
40105,Data declaration error
40106,Data declaration error
40107,Data declaration error
40108,Type error
40109,Type definition error
40110,Reference error
40111,Name error
40112,Reference error
40113,Name error
40114,Type definition error
40115,Type definition error
40116,Reference error
40117,Type definition error
40120,Reference error
40122,Reference error
40123,Argument error
40124,Argument error
40125,Instruction error
40126,Value error
40127,Value error
40128,Reference error
40129,Reference error
40130,Reference error
40131,Reference error
40135,Syntax error
40136,Syntax error
40137,Syntax error
40138,Syntax error
40139,Syntax error
40140,Numerical value for symbol
40141,String too long
40144,Integer out of range
40145,Parser stack is full
40146,Not enough heap space
40147,Identifier is reserved word in current
40148,Identifier too long
40149,Placeholder too long
40150,Unexpected unknown token
40152,Data declaration error
40155,Argument error
40156,Argument error
40157,Instruction error
40158,Value error
40159,Value error
40160,Errors in RAPID program
40161,Option is missing
